option_id,question_id,option_text_bm,option_text_en,is_correct,order
1,1,Keamanan dan kepatuhan,Peace and submission,1,NULL
2,1,Perang dan kekerasan,War and violence,0,NULL
3,1,Kebebasan mutlak,Absolute freedom,0,NULL
4,1,Hanya kepercayaan tanpa amal,Only belief without action,0,NULL
5,2,3,3,0,NULL
6,2,5,5,1,NULL
7,2,6,6,0,NULL
8,2,7,7,0,NULL
9,3,Solat,Prayer,0,NULL
10,3,Zakat,Charity,0,NULL
11,3,Syahadah,Shahada,1,NULL
12,3,Haji,Hajj,0,NULL
13,4,Nabi Adam,Prophet Adam,0,NULL
14,4,Nabi Musa,Prophet Moses,0,NULL
15,4,Nabi Isa,Prophet Jesus,0,NULL
16,4,Nabi Muhammad,Prophet Muhammad,1,NULL
17,5,3,3,0,NULL
18,5,5,5,0,NULL
19,5,6,6,1,NULL
20,5,7,7,0,NULL
21,6,Al-Quran,Al-Quran,1,NULL
22,6,Injil,Bible,0,NULL
23,6,Zabur,Psalms,0,NULL
24,6,Taurat,Torah,0,NULL
25,7,3 kali,3 times,0,NULL
26,7,5 kali,5 times,1,NULL
27,7,4 kali,4 times,0,NULL
28,7,7 kali,7 times,0,NULL
29,8,Ramadan,Ramadan,1,NULL
30,8,Syawal,Syawal,0,NULL
31,8,Zulhijjah,Zulhijjah,0,NULL
32,8,Rejab,Rejab,0,NULL
33,9,Kaabah,Kaaba,1,NULL
34,9,Baitulmaqdis,Jerusalem,1,NULL
35,9,Madinah,Medina,0,NULL
36,9,Makkah,Mecca,0,NULL
37,10,Tiada kehidupan selepas mati,There is no life after death,0,NULL
38,10,"Tiada tuhan melainkan Allah, Muhammad pesuruh Allah","There is no god but Allah, and Muhammad is His messenger",1,NULL
39,10,Semua agama adalah sama,All religions are the same,0,NULL
40,10,Islam adalah untuk bangsa Arab sahaja,Islam is only for Arabs,0,NULL
41,11,Aidilfitri dan Aidiladha,Eid al-Fitr and Eid al-Adha,1,NULL
42,11,Ramadan dan Haji,Ramadan and Hajj,0,NULL
43,11,Maulidur Rasul dan Ashura,Mawlid al-Nabi and Ashura,0,NULL
44,11,Israk Mikraj,Isra and Miraj,0,NULL
45,12,Penghulu segala hari,The leader of all days,1,NULL
46,12,Hari Raya,Eid,0,NULL
47,12,Hari Kemerdekaan,Independence Day,0,NULL
48,12,Hari kebesaran Islam,A special Islamic celebration,0,NULL
49,13,Al-Fatihah,Al-Fatihah,1,NULL
50,13,Al-Baqarah,Al-Baqarah,0,NULL
51,13,Al-Ikhlas,Al-Ikhlas,0,NULL
52,13,Al-Kahfi,Al-Kahfi,0,NULL
53,14,Iman kepada Allah,Faith in Allah,1,1
54,14,Iman kepada Malaikat,Faith in Angels,1,2
55,14,Iman kepada Kitab-Kitab Allah,Faith in the Books of Allah,1,3
56,14,Iman kepada Rasul-Rasul Allah,Faith in the Messengers of Allah,1,4
57,14,Iman kepada Hari Kiamat,Faith in the Day of Judgment,1,5
58,14,Iman kepada Takdir (Qada' dan Qadar),Faith in Divine Predestination,1,6
59,15,Syahadah,Shahada,1,1
60,15,Solat,Prayer,1,2
61,15,Puasa,Charity,1,3
62,15,Zakat,Fasting,1,4
63,15,Haji,Hajj,1,5
64,16,Mekah,Makkah,1,NULL
65,16,Madinah,Madinah,0,NULL
66,16,Taif,Taif,0,NULL
67,16,Palestin,Palestine,0,NULL
68,17,Aminah binti Wahab,Aminah binti Wahab,1,NULL
69,17,Khadijah binti Khuwailid,Khadijah binti Khuwailid,0,NULL
70,17,Fatimah binti Asad,Fatimah binti Asad,0,NULL
71,17,Aisyah binti Abu Bakar,Aisha binti Abu Bakar,0,NULL
72,18,38 tahun,38 years,0,NULL
73,18,30 tahun,30 years,0,NULL
74,18,40 tahun,40 years,1,NULL
75,18,42 tahun,42 years,0,NULL
76,19,Gua Hira,Cave Hira,1,NULL
77,19,Gua Thur,Cave Thur,0,NULL
78,19,Gua Tsur,Cave Tsur,0,NULL
79,19,Gua Nur,Cave Nur,0,NULL
80,20,Aisyah binti Abu Bakar,Aisha binti Abu Bakar,0,NULL
81,20,Hafsah binti Umar,Hafsah binti Umar,0,NULL
82,20,Khadijah binti Khuwailid,Khadijah binti Khuwailid,1,NULL
83,20,Ummu Salamah,Ummu Salama,0,NULL
84,21,Abdullah,Abdullah,1,NULL
85,21,Abu Talib,Abu Talib,0,NULL
86,21,Abdul Muttalib,Abdul Muttalib,0,NULL
87,21,Hamzah,Hamzah,0,NULL
88,22,571 Masihi,571 AD,1,NULL
89,22,632 Masihi,632 AD,0,NULL
90,22,610 Masihi,610 AD,0,NULL
91,22,599 Masihi,599 AD,0,NULL
92,23,Quraisy,Quraysh,1,NULL
93,23,Bani Israil,Bani Israel,0,NULL
94,23,Bani Hashim,Banu Hashim,0,NULL
95,23,Bani Aus,Banu Aus,0,NULL
96,24,Abu Talib,Abu Talib,1,NULL
97,24,Hamzah,Hamzah,0,NULL
98,24,Abbas,Abbas,0,NULL
99,24,Abu Lahab,Abu Lahab,0,NULL
100,25,Peniaga,Merchant,1,NULL
101,25,Petani,Farmer,0,NULL
102,25,Tukang besi,Blacksmith,0,NULL
103,25,Nelayan,Fisherman,0,NULL
104,26,Fatimah,Fatimah,1,NULL
105,26,Ruqayyah,Ruqayyah,0,NULL
106,26,Umm Kulthum,Umm Kulthum,0,NULL
107,26,Zainab,Zainab,0,NULL
108,27,Penindasan oleh kaum Quraisy,Persecution by Quraysh,1,NULL
109,27,Peluang perniagaan,Trade opportunities,0,NULL
110,27,Jemputan dari pemimpin Rom,Invitation from Roman leaders,0,NULL
111,27,Bencana alam di Makkah,Natural disaster in Makkah,0,NULL
112,28,Madinah,Medina,1,NULL
113,28,Makkah,Mecca,0,NULL
114,28,Taif,Ta'if,0,NULL
115,28,Kufah,Kufa,0,NULL
116,29,Kelahiran Nabi Muhammad SAW,Birth of Prophet Muhammad SAW,1,1
117,29,Perkahwinan dengan Khadijah,Marriage with Khadijah,1,2
118,29,Wahyu pertama,First revelation,1,3
119,29,Hijrah ke Madinah,Migration to Madinah,1,4
120,29,Wafatnya Nabi Muhammad SAW,Death of Prophet Muhammad SAW,1,5
121,30,Perang Badar,Battle of Badr,1,1
122,30,Perang Uhud,Battle of Uhud,1,2
123,30,Perang Khandaq,Battle of the Trench,1,3
124,30,Perang Khaibar,Battle of Khaybar,1,4
125,30,Pembukaan Kota Mekah,Conquest of Makkah,1,5
126,31,Bahasa Arab,Arabic,1,NULL
127,31,Bahasa Ibrani,Hebrew,0,NULL
128,31,Bahasa Latin,Latin,0,NULL
129,31,Bahasa Yunani,Greek,0,NULL
130,32,Malaikat Jibrail,Angel Jibril (Gabriel),1,NULL
131,32,Malaikat Mikail,Angel Mikail (Michael),0,NULL
132,32,Malaikat Israfil,Angel Israfil,0,NULL
133,32,Malaikat Izrail,Angel Izrail,0,NULL
134,33,Al-Baqarah,Al-Baqarah,1,NULL
135,33,Al-Fatihah,Al-Fatihah,0,NULL
136,33,An-Nisa,An-Nisa,0,NULL
137,33,Yasin,Yasin,0,NULL
138,34,30 Juzuk,30 Sections,1,NULL
139,34,114 Juzuk,114 Sections,0,NULL
140,34,99 Juzuk,99 Sections,0,NULL
141,34,33 Juzuk,33 Sections,0,NULL
142,35,"اِقْرَأْ بِاسْمِ رَبِّكَ الَّذِي خَلَقَ","اِقْرَأْ بِاسْمِ رَبِّكَ الَّذِي خَلَقَ",1,NULL
143,35,"بِسْمِ اللَّهِ الرَّحْمٰنِ الرَّحِيمِ","بِسْمِ اللَّهِ الرَّحْمٰنِ الرَّحِيمِ",0,NULL
144,35,"ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ","ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ",0,NULL
145,35,"إِنَّا أَنزَلْنَاهُ فِي لَيْلَةِ ٱلْقَدْرِ","إِنَّا أَنزَلْنَاهُ فِي لَيْلَةِ ٱلْقَدْرِ",0,NULL
146,36,Yasin,Yasin,1,NULL
147,36,Al-Fatihah,Al-Fatihah,0,NULL
148,36,Al-Baqarah,Al-Baqarah,0,NULL
149,36,Al-Kahfi,Al-Kahfi,0,NULL
150,37,114 Surah,114 Surah,1,NULL
151,37,99 Surah,99 Surah,0,NULL
152,37,30 Surah,30 Surah,0,NULL
153,37,120 Surah,120 Surah,0,NULL
